#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_866	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	42	0	0	0	0	0	1235	8	0	0	12	0	0
ASV_508	0	0	29	0	0	0	0	0	31	1	0	0	5	1	18
ASV_143	0	0	208	0	0	0	0	0	938	13	0	0	0	0	0
ASV_115	0	0	20	0	0	0	0	0	55	0	0	0	0	0	1404
ASV_348	0	0	6	0	0	0	0	0	28	0	0	0	0	0	155
ASV_402	0	0	12	26	2	28	0	0	9	28	0	0	1	22	13
ASV_13	0	0	65	3934	0	0	0	0	20	271	0	0	5662	11269	0
ASV_129	0	0	49	639	0	0	0	0	232	317	0	0	44	0	0
ASV_537	0	0	95	0	0	0	0	0	3	0	0	0	26	0	0
ASV_644	0	0	22	0	0	0	0	0	25	5	0	0	0	0	6
ASV_649	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0
ASV_352	0	0	4	0	0	0	0	0	0	0	0	0	33	149	0
ASV_475	0	0	106	0	0	0	0	0	11	0	0	0	0	0	0
ASV_793	0	0	19	0	0	0	0	0	8	0	0	0	0	0	0
ASV_96	0	0	4	1284	0	0	0	0	0	31	0	309	0	205	0
